Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
NS.2150.TSP0001---TSP200X.BS_006_R1										1.8083059731582283	0.4263579286907436	4.763780888197684	14.288232244686366	62.031104199066874	5.8434421980300675	0.0
NS.2150.TSP0001---TSP200X.BS_006_R2										1.9953361211260698	0.27595197622281586	4.725111165075053	14.4945082651974	60.18146601956412	5.294792234304723	1.2782095538640827
NS.2150.TSP0002---TSP200X.BS_008_R1										1.803921568627451	0.5692718401914757	4.16017674675504	17.691490993893645	60.88299733038755	1.2982294639295466	1.3459756359507808
NS.2150.TSP0002---TSP200X.BS_008_R2										1.9321611053212624	0.468792303498511	4.756164952582994	17.183611555136874	60.30187158404079	1.4672012283545168	1.5997290103562056
NS.2150.TSP0003---TSP200X.BS_014_R1										4.192016501501774	0.36916706853052106	1.0355902046667005	1.7259437903619026	42.305365484752805	35.783959023175775	6.370006484033612
NS.2150.TSP0003---TSP200X.BS_014_R2										4.647227826576902	0.38848799204011514	0.8651061347519975	1.5447893259565562	40.573345102678886	36.15068238415206	7.290489354294554
NS.2150.TSP0004---TSP200X.BS_026_R1										1.6452883846313358	0.5118938294279705	9.215570103978434	18.106170572029505	55.70015107977605	1.7347513108392332	1.7073495867523774
NS.2150.TSP0004---TSP200X.BS_026_R2										1.823002093485146	0.4245122656757901	8.455204785790544	18.667356542588408	56.110471600770595	1.7232484209396228	1.8213618985703464
NS.2150.TSP0005---TSP200X.BS_027_R1										2.0666847651718947	0.525309114242701	6.598262543498112	13.095954984081542	62.43885584540586	2.513512179471359	1.5951775710160665
NS.2150.TSP0005---TSP200X.BS_027_R2										2.1468249131195134	0.4038667724738737	6.3701991845548	12.934806673814458	60.200030349089154	4.739681931595143	1.7408436549258812
NS.2150.TSP0006---TSP200X.BS_028_R1										2.4348013002080977	0.4182262703982627	2.879431171651334	6.623495650599116	70.70748956761564	3.904940266083982	1.6818755357942279
NS.2150.TSP0006---TSP200X.BS_028_R2										2.6143008583250693	0.3463221967650378	2.6010498238894777	7.174366515063434	67.86504462606435	5.370601511472831	1.5431043326608078
NS.2150.TSP0007---TSP200X.BS_029_R1										34.94293743189769	13.408269771176235	27.42444227791478	3.223031484773757	0.0	0.0	0.0
NS.2150.TSP0007---TSP200X.BS_029_R2										37.07328305797018	12.181221576190202	26.878130217028378	3.6267342121927353	0.0	0.0	0.0
NS.2150.TSP0008---TSP200X.BS_031_R1										3.050741262864988	10.012807400650505	67.55304935916926	6.231399323695534	1.1425307055127107	0.0	0.0
NS.2150.TSP0008---TSP200X.BS_031_R2										3.001271804012217	9.85044698805247	67.26265073662518	5.803882251371599	1.3172918929456652	0.0	0.0
NS.2150.TSP0009---TSP200X.BS_033_R1										3.293172347107297	0.3822546791664477	1.715806420460588	3.791008030159858	65.71210978422842	12.209595851552672	2.9526637417928927
NS.2150.TSP0009---TSP200X.BS_033_R2										3.5492759585271108	0.36969190496482945	1.5768478907207455	3.358711219091647	64.43246573800945	12.080353261153633	5.131781143868077
NS.2150.TSP0010---TSP200X.BS_034_R1										3.5314382308572894	0.38082144882260427	2.1708801848741293	1.6304336197027893	61.820871090949936	17.246092287282412	3.8862617552343557
NS.2150.TSP0010---TSP200X.BS_034_R2										4.058675917855452	0.39153713821561875	1.9391181730816542	1.7578149959013036	61.85747030376648	15.40423904382524	4.488427598924209
NS.2150.TSP0011---TSP200X.BS_036_R1										1.9706930856019351	0.7968882710625079	7.385800899897433	16.481465698390355	56.55408642189378	3.5428685626621914	1.8894319360726033
NS.2150.TSP0011---TSP200X.BS_036_R2										2.017819048814155	0.8345574394897877	6.982793619392794	16.45922065651458	55.54080886966407	5.168852834144073	2.229374118828106
NS.2150.TSP0012---TSP200X.BS_038_R1										2.9213767880732804	0.4450385243805244	2.0530432735438287	5.401938615969296	71.12974867446566	5.145865482608692	1.5822722931841842
NS.2150.TSP0012---TSP200X.BS_038_R2										2.9925543875649625	0.3784918507103602	1.8842038226576197	5.412496363679249	69.83622797568972	7.313368294427977	1.7153212935080864
NS.2150.TSP0013---TSP200X.BS_040_R1										2.720243589785407	0.4771985217609702	2.1852300044686395	6.273056712581666	71.79668668312779	4.142543079969078	1.3623642691490994
NS.2150.TSP0013---TSP200X.BS_040_R2										2.9824477835522294	0.3619343902551198	1.8535278542472882	6.569269331090714	69.9706970296249	4.544342095753697	2.5027430471147087
NS.2150.TSP0014---TSP200X.BS_042_R1										1.9420095030548856	1.0963632092695486	16.693374142666762	25.37124942146723	41.64528905706717	0.0	0.0
NS.2150.TSP0014---TSP200X.BS_042_R2										1.8783010614857056	0.7824305168953531	16.883189790275875	23.81068222327222	43.956923048134094	0.0	0.0
NS.2150.TSP0015---TSP200X.BS_043_R1										2.1832321586767423	0.5679257510806166	6.220309053397625	13.84842232937553	60.7625853939866	2.9403475810239548	1.94326688110541
NS.2150.TSP0015---TSP200X.BS_043_R2										2.4552161681116154	0.48970354634361063	5.594988612658131	13.739449962680139	61.23339744693882	3.4298386633748636	1.9391973359361543
NS.2150.TSP0016---TSP200X.BS_044_R1										3.9463875917250473	0.4203799111340527	1.4233718219470024	2.0078982093575934	59.25304916036688	20.0527697077112	2.5787784483217493
NS.2150.TSP0016---TSP200X.BS_044_R2										4.155781649818997	0.3824232780687868	1.1849435947607774	1.7773412311951928	58.92640892638919	19.577896449373338	3.8100927603222994
NS.2150.TSP0017---TSP200X.BS_049_R1										2.747717514228184	3.188814210715041	7.152248466849939	15.517915099804162	51.21824517528939	8.503121465939703	0.0
NS.2150.TSP0017---TSP200X.BS_049_R2										3.11626057975436	2.913794936509918	7.350011325133013	15.505956095463938	51.83721392482885	8.419427456744925	0.0
NS.2150.TSP0018---TSP200X.BS_050_R1										2.724255929284643	0.46389708038008526	2.712430618685469	6.137254080758659	70.1751706252715	4.460359341625832	1.9825461700364695
NS.2150.TSP0018---TSP200X.BS_050_R2										2.7706660612190137	0.2900369460669983	2.4154884517740305	6.514231459885653	68.51534603397387	7.5634172015934285	1.2930710644182541
NS.2150.TSP0019---TSP200X.BS_051_R1										6.151299734748011	7.229283819628647	3.288700265251989	3.331140583554377	61.87798408488063	6.766259946949601	0.0
NS.2150.TSP0019---TSP200X.BS_051_R2										6.586696026218764	6.925525740816606	2.750751058309436	4.508910282671037	59.97968728663117	3.3413560016386725	5.262529018161956
NS.2150.TSP0020---TSP200X.BS_052_R1										3.312275153869316	0.38508355963622193	2.7406076571479128	5.6616630301231385	58.29124789334962	16.631300151122286	2.613102687522208
NS.2150.TSP0020---TSP200X.BS_052_R2										3.404989519413288	0.33546482818363504	2.3925712970326636	6.310080510124541	57.820712048838175	16.44480427513279	3.6637234014326454
NS.2150.TSP0021---TSP200X.BS_053_R1										5.0023318973015405	0.5268796718821578	0.9389623019476561	1.1523903464643885	25.34438350873229	39.504410921231994	19.753991596024008
NS.2150.TSP0021---TSP200X.BS_053_R2										5.1678539404379205	0.5121901063994022	0.7944799816034421	1.1732786960898627	24.10081735919092	39.8960669823457	21.008946586894712
NS.2150.TSP0022---TSP200X.BS_054_R1										4.180423007145699	0.36481046816857	1.327049561544737	1.6972493748471928	52.34066270308853	27.02980045295678	3.6102040024921123
NS.2150.TSP0022---TSP200X.BS_054_R2										4.688663196938301	0.4096158708295155	1.053316835960119	1.7817431231951821	52.57463981321332	25.005381283647043	5.487143182637269
NS.2150.TSP0023---TSP200X.BS_055_R1										4.376552272233633	0.43405492046259864	1.0561168912799288	1.7778330929529553	43.29009656387167	34.98707072668341	5.220404440925427
NS.2150.TSP0023---TSP200X.BS_055_R2										4.916136798626409	0.45807131353765546	0.992264555009646	1.5238189029799132	41.42165573915497	35.82253270392093	6.492895965087055
NS.2150.TSP0024---TSP200X.BS_056_R1										3.51255189915121	0.34023325604685495	1.3455814165805335	2.1540126849635084	63.41254728600414	17.44166393337902	2.300815685163597
NS.2150.TSP0024---TSP200X.BS_056_R2										3.996761761273733	0.30365164648507026	1.139021054479533	2.2238279543770325	62.58068196427041	16.312541495889864	3.732552876528055
NS.2150.TSP0025---TSP200X.BS_058_R1										4.620511779264326	0.43790838543282684	1.0621492733006874	1.3578688563922683	34.756754705899645	39.67247616724081	9.885200299713347
